date,open,close
2023-03-28,1059.666,1038.625
2023-03-29,1039.795,1062.136
2023-03-30,1065.387,1065.69
2023-03-31,1063.288,1081.541
2023-04-03,1093.075,1126.489
2023-04-04,1122.383,1129.084
2023-04-06,1127.032,1146.964
2023-04-07,1149.536,1161.021
2023-04-10,1164.983,1129.172
2023-04-11,1132.222,1121.74
2023-04-12,1118.129,1129.406
2023-04-13,1122.371,1100.126
2023-04-14,1107.625,1136.213
2023-04-17,1134.051,1140.13
2023-04-18,1130.813,1129.817
2023-04-19,1131.74,1134.404
2023-04-20,1134.938,1164.948
2023-04-21,1162.938,1116.825
2023-04-24,1116.666,1096.378
2023-04-25,1095.946,1076.865
2023-04-26,1072.696,1069.005
2023-04-27,1063.53,1068.012
2023-04-28,1060.706,1087.869
2023-05-04,1077.852,1064.205
2023-05-05,1062.663,1049.089
2023-05-08,1050.1,1057.214
2023-05-09,1058.373,1034.213
2023-05-10,1031.129,1025.706
2023-05-11,1035.183,1025.971
2023-05-12,1028.36,1014.105
2023-05-15,1013.526,1025.785
2023-05-16,1029.33,1025.866
2023-05-17,1025.447,1029.65
2023-05-18,1031.404,1034.822
2023-05-19,1040.346,1040.161
2023-05-22,1040.829,1032.112
2023-05-23,1029.144,1016.106
2023-05-24,1011.124,1011.774
2023-05-25,1016.916,1021.719
2023-05-26,1023.858,1038.661
2023-05-29,1041.27,1028.38
2023-05-30,1025.826,1044.425
2023-05-31,1040.339,1053.91
2023-06-01,1048.954,1053.549
2023-06-02,1055.948,1053.291
2023-06-05,1063.15,1051.734
2023-06-06,1047.919,1022.984
2023-06-07,1023.95,1019.051
2023-06-08,1012.656,1007.12
2023-06-09,1008.903,1032.551
2023-06-12,1030.258,1026.639
2023-06-13,1025.21,1039.463
2023-06-14,1038.89,1035.314
2023-06-15,1036.311,1033.85
2023-06-16,1034.425,1052.883
2023-06-19,1053.343,1055.454
2023-06-20,1054.511,1055.412
2023-06-21,1050.124,1020.222
2023-06-26,1011.149,1010.314
2023-06-27,1011.082,1011.352
2023-06-28,1017.081,1008.219
2023-06-29,1004.543,1001.458
2023-06-30,999.182,1005.15
2023-07-03,1006.577,1008.399
2023-07-04,1008.433,1015.396
2023-07-05,1013.379,1005.732
2023-07-06,1004.667,1002.111
2023-07-07,1001.016,991.849
2023-07-10,992.744,993.731
2023-07-11,996.559,1001.414
2023-07-12,999.236,984.981
2023-07-13,988.697,995.973
2023-07-14,999.789,991.559
2023-07-17,988.881,984.821
2023-07-18,985.244,980.019
2023-07-19,986.998,975.115
2023-07-20,978.384,961.13
2023-07-21,958.886,955.549
2023-07-24,953.965,950.552
2023-07-25,961.522,964.396
2023-07-26,963.554,961.597
2023-07-27,962.609,952.296
2023-07-28,950.515,962.645
2023-07-31,961.689,968.994
2023-08-01,969.405,969.683
2023-08-02,967.687,968.439
2023-08-03,962.55,970.373
2023-08-04,972.484,975.778
2023-08-07,973.289,968.898
2023-08-08,967.433,965.532
2023-08-09,961.504,957.369
2023-08-10,957.218,959.17
2023-08-11,960.095,938.765
2023-08-14,932.092,930.495
2023-08-15,933.057,917.45
2023-08-16,916.586,901.787
2023-08-17,899.799,910.378
2023-08-18,924.296,904.249
2023-08-21,900.224,892.093
2023-08-22,896.745,901.128
2023-08-23,899.961,879.459
2023-08-24,883.799,885.476
2023-08-25,880.167,870.399
2023-08-28,926.0,880.191
2023-08-29,878.78,916.455
2023-08-30,935.818,939.648
2023-08-31,936.195,942.613
2023-09-01,944.251,934.787
2023-09-04,935.821,942.428
2023-09-05,942.556,930.629
2023-09-06,926.25,934.604
2023-09-07,929.358,899.828
2023-09-08,895.504,901.506
2023-09-11,901.542,907.505
2023-09-12,905.915,901.622
2023-09-13,900.004,889.132
2023-09-14,888.26,880.802
2023-09-15,883.074,887.013
2023-09-18,881.383,879.534
2023-09-19,879.345,873.618
2023-09-20,870.032,866.023
2023-09-21,862.638,860.394
2023-09-22,860.728,882.878
2023-09-25,880.317,874.555
2023-09-26,876.258,876.051
2023-09-27,875.435,880.17
2023-09-28,880.394,887.8
2023-10-09,884.204,887.212
2023-10-10,888.146,882.044
2023-10-11,885.628,893.449
2023-10-12,896.002,899.984
2023-10-13,895.468,891.72
2023-10-16,890.483,874.026
2023-10-17,874.282,882.191
2023-10-18,884.706,869.762
2023-10-19,864.459,870.101
2023-10-20,865.775,861.809
2023-10-23,857.482,840.144
2023-10-24,844.085,850.614
2023-10-25,859.765,848.646
2023-10-26,841.987,849.309
2023-10-27,843.877,861.852
2023-10-30,862.117,878.129
2023-10-31,882.427,874.406
2023-11-01,874.04,869.918
2023-11-02,871.551,859.932
2023-11-03,861.545,875.373
2023-11-06,880.603,890.207
2023-11-07,887.204,891.456
2023-11-08,890.873,899.626
2023-11-09,897.931,893.798
2023-11-10,888.987,889.75
2023-11-13,893.5,896.551
2023-11-14,895.814,904.341
2023-11-15,912.627,902.18
2023-11-16,898.744,887.111
2023-11-17,886.673,891.38
2023-11-20,890.898,892.631
2023-11-21,892.92,884.895
2023-11-22,881.957,870.76
2023-11-23,869.853,877.77
2023-11-24,875.58,864.774
2023-11-27,864.267,868.03
2023-11-28,868.812,871.906
2023-11-29,870.4,862.036
2023-11-30,861.51,865.685
2023-12-01,863.334,867.537
2023-12-04,867.834,861.92
2023-12-05,859.485,845.8
2023-12-06,843.815,848.791
2023-12-07,847.102,847.476
